wall_time_s,iter,iter_ms
1764394734.337965,1,242.019363
1764394734.522808,2,105.749153
1764394734.614756,3,86.805023
1764394734.705377,4,85.415649
1764394734.797285,5,86.736542
1764394734.887927,6,85.761757
1764394734.979595,7,86.638306
1764394735.069651,8,85.061340
1764394735.160704,9,86.276833
1764394735.254328,10,88.744705
1764394735.349505,11,89.175743
1764394735.442070,12,87.441086
1764394735.536159,13,88.822945
1764394735.628815,14,87.341377
1764394735.722476,15,88.457886
1764394735.818044,16,89.901726
1764394735.914658,17,90.927811
1764394736.010095,18,89.928802
1764394736.105240,19,89.959167
1764394736.199682,20,88.968124
1764394736.296414,21,90.580544
1764394736.389850,22,87.828285
1764394736.485728,23,90.306206
1764394736.579873,24,88.558273
1764394736.675766,25,90.214050
1764394736.769982,26,88.657600
1764394736.863917,27,88.530563
1764394736.956903,28,87.506622
1764394737.051239,29,88.744896
1764394737.143106,30,86.498978
1764394737.237917,31,88.563362
1764394737.330390,32,86.930077
1764394737.423726,33,87.954079
1764394737.515501,34,86.416801
1764394737.608773,35,87.715134
1764394737.700592,36,86.235809
1764394737.793489,37,87.143105
1764394737.884945,38,85.985924
1764394737.977012,39,86.457024
1764394738.068217,40,85.703293
1764394738.159858,41,85.721794
1764394738.250371,42,85.113503
1764394738.341721,43,85.873596
1764394738.431028,44,83.914429
1764394738.521905,45,85.569214
1764394738.611730,46,84.435616
1764394738.702488,47,85.206749
1764394738.792018,48,84.110878
1764394738.882054,49,84.506432
1764394738.971087,50,83.668610
1764394739.061619,51,84.465248
1764394739.149292,52,82.311836
1764394739.238205,53,83.561089
1764394739.326085,54,82.401604
1764394739.414380,55,82.942589
1764394739.501765,56,81.747360
1764394739.590047,57,82.784637
1764394739.677016,58,81.427460
1764394739.764607,59,82.123680
1764394739.850744,60,80.703712
1764394739.938792,61,81.769730
1764394740.024374,62,80.045471
1764394740.111032,63,81.057533
1764394740.195671,64,79.224068
1764394740.281857,65,80.615105
1764394740.366500,66,79.272575
1764394740.450912,67,79.062622
1764394740.535387,68,79.139748
1764394740.619923,69,79.283134
1764394740.703738,70,78.655136
1764394740.789161,71,79.103523
1764394740.872808,72,78.236320
1764394740.956905,73,78.646812
1764394741.039949,74,77.647522
1764394741.123476,75,77.998016
1764394741.205613,76,76.784256
1764394741.289448,77,78.371521
1764394741.371615,78,76.745087
1764394741.453946,79,77.064766
1764394741.535596,80,76.549026
1764394741.619347,81,77.864067
1764394741.701225,82,76.531326
1764394741.784106,83,77.437920
1764394741.865932,84,76.440224
1764394741.948434,85,77.144608
1764394742.029705,86,75.857216
1764394742.112298,87,77.237923
1764394742.193242,88,75.540031
1764394742.275456,89,76.644257
1764394742.356196,90,75.164925
1764394742.438291,91,75.970238
1764394742.517815,92,74.177086
1764394742.598904,93,75.734787
1764394742.678567,94,74.124130
1764394742.759854,95,75.948738
1764394742.840007,96,74.810333
1764394742.920620,97,75.194466
1764394743.000137,98,74.074493
1764394743.080439,99,75.207741
1764394743.159240,100,73.621597
1764394743.239348,101,74.009438
1764394743.318340,102,73.606461
1764394743.398534,103,74.795166
1764394743.477049,104,72.945602
1764394743.556259,105,73.722916
1764394743.634427,106,72.628769
1764394743.714451,107,74.502846
1764394743.793066,108,73.183807
1764394743.872443,109,73.910561
1764394743.951157,110,73.262657
1764394744.031240,111,73.820320
1764394744.108983,112,72.384193
1764394744.187898,113,73.301788
1764394744.266292,114,72.826530
1764394744.344864,115,73.214432
1764394744.422045,116,71.700127
1764394744.499965,117,72.426819
1764394744.575866,118,70.497887
1764394744.653424,119,72.227524
1764394744.729902,120,71.033539
1764394744.807432,121,71.330467
1764394744.884219,122,71.247421
1764394744.961233,123,71.625374
1764394745.037127,124,70.357635
1764394745.113172,125,70.700737
1764394745.188720,126,70.154755
1764394745.265328,127,71.227074
1764394745.340175,128,69.488159
1764394745.416179,129,70.592224
1764394745.489865,130,68.349121
1764394745.565733,131,70.133026
1764394745.640234,132,69.383614
1764394745.715609,133,70.036125
1764394745.789181,134,68.334015
1764394745.864246,135,69.908417
1764394745.938069,136,68.464386
1764394746.012675,137,69.103424
1764394746.084969,138,67.178947
1764394746.159235,139,69.021378
1764394746.232398,140,67.780067
1764394746.307676,141,69.232323
1764394746.381315,142,68.120323
1764394746.454655,143,68.029121
1764394746.526637,144,66.556160
1764394746.599574,145,67.624352
1764394746.672191,146,67.314240
1764394746.746063,147,68.502205
1764394746.818527,148,66.911613
1764394746.892445,149,68.460258
1764394746.964840,150,66.994591
1764394747.039079,151,68.244675
1764394747.110685,152,66.309631
1764394747.183999,153,67.888062
1764394747.255666,154,66.299072
1764394747.328607,155,67.475807
1764394747.400230,156,66.149597
1764394747.472891,157,67.293884
1764394747.543746,158,65.551201
1764394747.615685,159,66.732803
1764394747.686497,160,65.777885
1764394747.759398,161,66.872032
1764394747.830495,162,65.781151
1764394747.902362,163,66.381859
1764394747.973655,164,65.981056
1764394748.045961,165,66.980515
1764394748.116091,166,65.080673
1764394748.187969,167,66.458527
1764394748.258216,168,64.904800
1764394748.330063,169,66.412285
1764394748.400487,170,64.924385
1764394748.473353,171,66.885277
1764394748.542587,172,64.182846
1764394748.613746,173,66.145218
1764394748.683941,174,64.868896
1764394748.755420,175,66.147934
1764394748.825755,176,64.820419
1764394748.897089,177,66.011810
1764394748.966521,178,64.085052
1764394749.037917,179,65.929855
1764394749.106612,180,63.542912
1764394749.177642,181,65.120125
1764394749.247233,182,64.281250
1764394749.318452,183,65.712097
1764394749.388321,184,64.516129
1764394749.459228,185,65.529793
1764394749.529309,186,64.723679
1764394749.600205,187,65.591934
1764394749.669493,188,63.964832
1764394749.740369,189,65.514786
1764394749.809249,190,63.521217
1764394749.880388,191,65.176674
1764394749.949569,192,63.837311
1764394750.019760,193,64.747169
1764394750.088907,194,63.664322
1764394750.158171,195,64.199585
1764394750.226977,196,63.752384
1764394750.297556,197,65.078941
1764394750.366411,198,63.515102
1764394750.436133,199,64.527328
1764394750.652010,200,210.557510
1764394750.722803,201,64.104195
1764394750.792282,202,63.987358
1764394750.860229,203,62.811295
1764394750.928884,204,63.383167
1764394750.997932,205,63.489727
1764394751.066336,206,63.296162
1764394751.134585,207,63.068863
1764394751.202446,208,62.482018
1764394751.271323,209,63.548416
1764394751.339814,210,63.128258
1764394751.408553,211,62.875328
1764394751.476319,212,62.593727
1764394751.544262,213,62.808960
1764394751.612226,214,62.790337
1764394751.679864,215,62.519455
1764394751.747669,216,62.529217
1764394751.815652,217,62.664383
1764394751.883373,218,62.380577
1764394751.951303,219,62.429855
1764394752.019729,220,62.944962
1764394752.088858,221,63.080608
1764394752.156475,222,62.235329
1764394752.223336,223,61.752640
1764394752.290642,224,62.118591
1764394752.358618,225,62.659809
1764394752.426522,226,62.594688
1764394752.494249,227,62.222015
1764394752.562413,228,62.820606
1764394752.629745,229,61.954975
1764394752.697314,230,62.082752
1764394752.765965,231,62.548321
1764394752.833589,232,62.306976
1764394752.901078,233,62.141121
1764394752.968135,234,61.870750
1764394753.035181,235,61.608002
1764394753.101584,236,61.129375
1764394753.169825,237,62.953377
1764394753.236396,238,61.096607
1764394753.303453,239,61.749249
1764394753.370372,240,61.600449
1764394753.438653,241,62.152737
1764394753.505743,242,62.029472
1764394753.572444,243,61.538017
1764394753.639573,244,61.768383
1764394753.706517,245,61.448959
1764394753.773618,246,61.778625
1764394753.840616,247,61.657249
1764394753.907141,248,61.145218
1764394753.973960,249,61.512383
1764394754.040617,250,61.333183
1764394754.108856,251,62.092510
1764394754.175688,252,61.450848
1764394754.242023,253,60.993378
1764394754.308721,254,61.195934
1764394754.375377,255,61.332863
1764394754.441778,256,61.132225
1764394754.508273,257,61.179520
1764394754.574856,258,61.200256
1764394754.641531,259,61.326145
1764394754.707387,260,60.569279
1764394754.774684,261,61.305855
1764394754.841649,262,61.535873
1764394754.907795,263,60.846306
1764394754.974048,264,60.940990
1764394755.040216,265,60.855999
1764394755.105932,266,60.411839
1764394755.172254,267,61.064159
1764394755.238815,268,61.079231
1764394755.305640,269,61.341888
1764394755.371752,270,60.785343
1764394755.438871,271,61.123745
1764394755.504982,272,60.797630
1764394755.571421,273,61.074528
1764394755.637730,274,60.973759
1764394755.702876,275,60.100735
1764394755.768456,276,60.549824
1764394755.834930,277,61.130497
1764394755.901050,278,60.632706
1764394755.967618,279,61.128799
1764394756.034144,280,61.182655
1764394756.100880,281,61.008766
1764394756.166651,282,60.514977
1764394756.233294,283,61.144993
1764394756.299980,284,61.423264
1764394756.391096,285,85.899742
1764394756.457243,286,60.626625
1764394756.524266,287,61.570751
1764394756.590739,288,61.073120
1764394756.681082,289,84.792992
1764394756.746495,290,59.722561
1764394756.812971,291,60.390015
1764394756.878838,292,60.641983
1764394756.945072,293,60.911263
1764394757.011713,294,61.213310
1764394757.078303,295,61.434498
1764394757.144006,296,60.582561
1764394757.209906,297,60.358273
1764394757.276499,298,61.215519
1764394757.342653,299,60.773632
1764394757.408538,300,60.324512
1764394757.476071,301,61.427361
1764394757.541958,302,60.549793
1764394757.608346,303,60.890816
1764394757.674406,304,60.665535
1764394757.739672,305,59.987648
1764394757.828433,306,83.481277
1764394757.895095,307,61.030048
1764394757.961468,308,60.794399
1764394758.028005,309,61.030079
1764394758.118569,310,84.986595
1764394758.186571,311,61.477570
1764394758.252522,312,60.459713
1764394758.318066,313,60.319424
1764394758.383582,314,60.367489
1764394758.475475,315,86.462303
1764394758.541646,316,60.296864
1764394758.607585,317,60.580544
1764394758.673056,318,60.032703
1764394758.739014,319,60.533409
1764394758.829435,320,84.764351
1764394758.895929,321,60.128960
1764394758.961515,322,60.289726
1764394759.026589,323,60.024448
1764394759.091297,324,59.685535
1764394759.182300,325,85.584801
1764394759.249079,326,60.763424
1764394759.315328,327,60.864353
1764394759.380829,328,60.216000
1764394759.447451,329,61.106850
1764394759.513402,330,60.680832
1764394759.605949,331,86.524544
1764394759.671168,332,59.440830
1764394759.737338,333,60.554913
1764394759.802582,334,59.861633
1764394759.867837,335,59.848385
1764394759.959010,336,85.422081
1764394760.026044,337,61.189823
1764394760.091628,338,60.254753
1764394760.157343,339,60.394016
1764394760.222872,340,60.019329
1764394760.315795,341,86.899330
1764394760.381382,342,59.758881
1764394760.447095,343,60.324543
1764394760.512639,344,60.037727
1764394760.578525,345,60.415615
1764394760.669158,346,85.252739
1764394760.735804,347,60.935841
1764394760.801274,348,60.162750
1764394760.867544,349,60.970367
1764394760.959315,350,86.300354
1764394761.025670,351,59.816032
1764394761.090280,352,59.463295
1764394761.155772,353,60.066975
1764394761.221771,354,60.334591
1764394761.313378,355,86.179840
1764394761.379679,356,60.623550
1764394761.445171,357,60.154495
1764394761.511337,358,60.650082
1764394761.603157,359,86.501251
1764394761.668822,360,59.828320
1764394761.733985,361,59.015873
1764394761.800125,362,60.702209
1764394761.891077,363,85.771965
1764394761.957117,364,60.253632
1764394762.022645,365,60.204319
1764394762.087748,366,60.058208
1764394762.178492,367,85.636734
1764394762.244572,368,60.277409
1764394762.310477,369,60.238625
1764394762.402646,370,87.080643
1764394762.468670,371,59.779778
1764394762.534930,372,60.889759
1764394762.600526,373,60.153538
1764394762.692874,374,86.852989
1764394762.758062,375,59.431904
1764394762.823998,376,60.430977
1764394762.889043,377,59.754143
1764394762.981031,378,86.376060
1764394763.047859,379,61.083263
1764394763.112968,380,60.058113
1764394763.205853,381,86.222237
1764394763.271955,382,60.406464
1764394763.337558,383,60.207809
1764394763.403289,384,60.330688
1764394763.495793,385,87.020546
1764394763.562367,386,60.745342
1764394763.628462,387,60.447105
1764394763.693794,388,60.072575
1764394763.784969,389,86.068832
1764394763.851625,390,60.949120
1764394763.918118,391,60.243584
1764394764.011507,392,87.911133
1764394764.078103,393,60.536385
1764394764.143164,394,59.896446
1764394764.208689,395,60.210815
1764394764.301396,396,87.017952
1764394764.367473,397,60.327103
1764394764.433330,398,60.487358
1764394764.525306,399,86.612671
1764394764.766322,400,235.324570
1764394764.832584,401,60.001984
1764394764.898665,402,60.717342
1764394764.991235,403,87.078911
1764394765.057577,404,60.700768
1764394765.123606,405,60.618366
1764394765.216699,406,87.411583
1764394765.283116,407,60.711872
1764394765.349676,408,61.206272
1764394765.415749,409,60.574463
1764394765.510013,410,88.759293
1764394765.577163,411,60.584736
1764394765.643118,412,60.555840
1764394765.735656,413,87.077248
1764394765.802377,414,60.828575
1764394765.868285,415,60.482784
1764394765.934557,416,60.779202
1764394766.027613,417,87.529152
1764394766.093824,418,60.361694
1764394766.159418,419,60.392288
1764394766.253330,420,88.431808
1764394766.320373,421,60.598656
1764394766.386951,422,61.251553
1764394766.453598,423,61.189823
1764394766.547627,424,88.718979
1764394766.613884,425,60.576416
1764394766.680354,426,61.028351
1764394766.746078,427,60.240543
1764394766.840480,428,88.892609
1764394766.907280,429,60.771198
1764394766.973310,430,60.587551
1764394767.039461,431,60.104321
1764394767.133724,432,89.094048
1764394767.199745,433,60.342976
1764394767.266138,434,61.059647
1764394767.333106,435,61.458366
1764394767.427956,436,89.497566
1764394767.494099,437,60.304192
1764394767.560571,438,61.122463
1764394767.626524,439,60.636929
1764394767.720662,440,88.711937
1764394767.787584,441,60.502689
1764394767.854012,442,61.120895
1764394767.919563,443,60.365376
1764394768.014085,444,89.497665
