wall_time_s,iter,iter_ms
1764373170.324908,1,232.394684
1764373170.496776,2,105.593506
1764373170.606618,3,104.448509
1764373170.716346,4,104.276642
1764373170.826796,5,105.088669
1764373170.936230,6,104.090271
1764373171.046527,7,105.131584
1764373171.155912,8,104.077789
1764373171.266114,9,104.904350
1764373171.375425,10,104.019615
1764373171.486299,11,104.675102
1764373171.595343,12,103.685699
1764373171.704848,13,104.186462
1764373171.813784,14,103.399071
1764373171.922892,15,103.857826
1764373172.031160,16,103.096191
1764373172.140061,17,103.608994
1764373172.247775,18,102.439552
1764373172.355997,19,102.977249
1764373172.463002,20,101.899933
1764373172.571438,21,102.299332
1764373172.678393,22,101.513184
1764373172.785788,23,102.130333
1764373172.892277,24,100.893341
1764373172.999115,25,101.316544
1764373173.104522,26,100.151970
1764373173.210721,27,100.691551
1764373173.315940,28,99.936928
1764373173.421299,29,99.955421
1764373173.525577,30,99.181152
1764373173.631277,31,99.497597
1764373173.735451,32,98.772636
1764373173.839992,33,98.922112
1764373173.943418,34,97.956512
1764373174.046941,35,98.268127
1764373174.148926,36,96.981628
1764373174.250858,37,97.082848
1764373174.352395,38,96.386719
1764373174.453778,39,96.372292
1764373174.554639,40,95.608543
1764373174.656162,41,95.727264
1764373174.756408,42,94.946976
1764373174.856404,43,94.856865
1764373174.955897,44,94.116508
1764373175.055202,45,94.007965
1764373175.153715,46,93.257599
1764373175.252162,47,93.072029
1764373175.349816,48,92.202271
1764373175.447319,49,92.238686
1764373175.543785,50,91.373215
1764373175.641326,51,91.578941
1764373175.737004,52,90.441376
1764373175.832913,53,90.601120
1764373175.927845,54,89.643715
1764373176.022296,55,89.191872
1764373176.115944,56,88.380066
1764373176.209389,57,88.121918
1764373176.301916,58,87.271072
1764373176.394428,59,87.243523
1764373176.486346,60,86.917374
1764373176.578028,61,85.806976
1764373176.668804,62,85.639748
1764373176.759242,63,85.100189
1764373176.849397,64,84.741341
1764373176.938626,65,83.957443
1764373177.027847,66,83.960480
1764373177.116329,67,83.220062
1764373177.204701,68,83.074913
1764373177.291931,69,81.922722
1764373177.379316,70,82.348381
1764373177.466099,71,81.292961
1764373177.552406,72,81.003166
1764373177.637730,73,80.054878
1764373177.722942,74,79.822945
1764373177.807760,75,79.544991
1764373177.892086,76,79.053185
1764373177.975688,77,78.327454
1764373178.059530,78,78.387901
1764373178.142535,79,77.738464
1764373178.224431,80,76.909058
1764373178.306550,81,76.397697
1764373178.388156,82,76.314301
1764373178.469342,83,75.868896
1764373178.550079,84,75.398750
1764373178.630199,85,74.848862
1764373178.710291,86,74.652161
1764373178.789686,87,74.306435
1764373178.868794,88,73.744995
1764373178.947550,89,73.466431
1764373179.025752,90,72.965820
1764373179.103865,91,72.414879
1764373179.181199,92,72.126114
1764373179.258607,93,72.118973
1764373179.335538,94,71.669472
1764373179.411901,95,71.095970
1764373179.488045,96,70.859459
1764373179.563822,97,70.497887
1764373179.639516,98,70.239838
1764373179.714946,99,70.158142
1764373179.789970,100,69.766815
1764373179.865278,101,69.367455
1764373179.939711,102,69.154465
1764373180.013866,103,68.910080
1764373180.087722,104,68.607361
1764373180.161348,105,68.348579
1764373180.234766,106,68.153923
1764373180.307756,107,67.727875
1764373180.380787,108,67.577538
1764373180.453046,109,66.981537
1764373180.525401,110,67.153603
1764373180.598079,111,66.743294
1764373180.670219,112,66.741920
1764373180.742127,113,66.631805
1764373180.813805,114,66.291649
1764373180.885166,115,66.092606
1764373180.956287,116,65.808029
1764373181.026922,117,65.368706
1764373181.097686,118,65.484512
1764373181.167985,119,65.029343
1764373181.238184,120,64.938660
1764373181.309073,121,65.059456
1764373181.378560,122,64.507454
1764373181.448410,123,64.583519
1764373181.518101,124,64.223907
1764373181.587404,125,64.048546
1764373181.656613,126,63.939102
1764373181.725717,127,63.685280
1764373181.794495,128,63.511967
1764373181.863159,129,63.370911
1764373181.931807,130,63.197857
1764373182.000550,131,62.799809
1764373182.068645,132,62.813854
1764373182.136360,133,62.420639
1764373182.204188,134,62.542591
1764373182.271607,135,62.101025
1764373182.339262,136,62.215649
1764373182.406704,137,62.008926
1764373182.474267,138,62.139458
1764373182.541752,139,62.059265
1764373182.608809,140,61.762207
1764373182.676137,141,61.317696
1764373182.742836,142,61.427231
1764373182.809444,143,61.318817
1764373182.875897,144,61.176449
1764373182.942043,145,60.787968
1764373183.008505,146,61.017761
1764373183.074603,147,61.044384
1764373183.140574,148,60.621471
1764373183.206437,149,60.399265
1764373183.272685,150,60.856991
1764373183.338947,151,60.166016
1764373183.404818,152,60.256897
1764373183.470530,153,60.324833
1764373183.536306,154,60.313278
1764373183.602026,155,60.270271
1764373183.667459,156,60.178082
1764373183.732466,157,59.643551
1764373183.797438,158,59.668129
1764373183.862005,159,59.221600
1764373183.927030,160,59.458176
1764373183.992641,161,59.411938
1764373184.057421,162,59.420319
1764373184.121579,163,58.739361
1764373184.186099,164,59.235905
1764373184.250433,165,58.884640
1764373184.314724,166,59.056705
1764373184.378637,167,58.648384
1764373184.442656,168,58.572514
1764373184.506909,169,58.968414
1764373184.570553,170,58.638111
1764373184.634690,171,58.239841
1764373184.698796,172,58.642849
1764373184.762244,173,58.158592
1764373184.825718,174,58.178463
1764373184.889288,175,58.090466
1764373184.952897,176,58.223202
1764373185.016069,177,57.846848
1764373185.078948,178,57.721760
1764373185.141609,179,57.647263
1764373185.204577,180,57.706142
1764373185.268493,181,57.794209
1764373185.331321,182,57.538208
1764373185.393746,183,57.441631
1764373185.456052,184,57.174686
1764373185.518617,185,57.276066
1764373185.581375,186,57.354912
1764373185.643568,187,56.936031
1764373185.705815,188,57.007103
1764373185.767751,189,56.668831
1764373185.830042,190,57.014881
1764373185.893349,191,57.148129
1764373185.955842,192,57.216766
1764373186.017731,193,56.731297
1764373186.079556,194,56.799679
1764373186.141366,195,56.539360
1764373186.203459,196,56.634975
1764373186.265599,197,56.724033
1764373186.327424,198,56.529598
1764373186.389027,199,56.604641
1764373186.509085,200,115.157631
1764373186.571126,201,56.160385
1764373186.632575,202,56.241825
1764373186.693907,203,56.435680
1764373186.755591,204,56.174240
1764373186.817167,205,56.145409
1764373186.878644,206,56.024544
1764373186.940137,207,56.316544
1764373187.001083,208,56.108704
1764373187.061704,209,55.688480
1764373187.122701,210,55.712479
1764373187.184783,211,56.079903
1764373187.245720,212,55.832226
1764373187.306247,213,55.669407
1764373187.367383,214,55.639809
1764373187.428105,215,55.725506
1764373187.488884,216,55.615135
1764373187.550083,217,55.767841
1764373187.611086,218,55.588863
1764373187.671795,219,55.443039
1764373187.732452,220,55.386784
1764373187.794133,221,55.532608
1764373187.854713,222,55.444225
1764373187.915490,223,55.428833
1764373187.976123,224,55.461536
1764373188.036336,225,55.366337
1764373188.096608,226,54.991169
1764373188.157022,227,55.422401
1764373188.217286,228,55.110722
1764373188.277670,229,54.956608
1764373188.338292,230,55.109280
1764373188.399319,231,54.882015
1764373188.459339,232,54.860542
1764373188.519309,233,54.759007
1764373188.579185,234,54.728226
1764373188.639112,235,54.760063
1764373188.699296,236,55.016094
1764373188.759138,237,54.802433
1764373188.818806,238,54.388607
1764373188.878742,239,54.955425
1764373188.938281,240,54.386272
1764373188.999214,241,54.828480
1764373189.059196,242,54.571262
1764373189.119228,243,54.615746
1764373189.179308,244,54.581760
1764373189.239033,245,54.310558
1764373189.298654,246,54.487358
1764373189.357782,247,54.100674
1764373189.416945,248,54.161057
1764373189.475703,249,54.016479
1764373189.534981,250,53.981056
1764373189.594956,251,54.030880
1764373189.654634,252,54.061760
1764373189.713672,253,54.073280
1764373189.772416,254,53.747105
1764373189.831709,255,53.857922
1764373189.890988,256,53.795486
1764373189.950099,257,53.858303
1764373190.009179,258,53.796383
1764373190.068473,259,53.773983
1764373190.127274,260,53.794434
1764373190.186728,261,53.633598
1764373190.245542,262,53.649471
1764373190.304353,263,53.735073
1764373190.363351,264,53.534306
1764373190.422329,265,53.539425
1764373190.481358,266,53.587231
