wall_time_s,iter,iter_ms
1764017781.758871,1,200.873734
1764017781.872070,2,73.477859
1764017781.956103,3,78.450371
1764017782.034870,4,73.295486
1764017782.121828,5,81.337379
1764017782.204652,6,77.197952
1764017782.281826,7,71.822243
1764017782.358232,8,70.894211
1764017782.438686,9,74.787292
1764017782.513990,10,69.724899
1764017782.594064,11,73.846397
1764017782.675310,12,75.929634
1764017782.755622,13,75.019135
1764017782.840884,14,79.995522
1764017782.920525,15,74.118782
1764017782.994139,16,68.208511
1764017783.074660,17,75.290115
1764017783.154402,18,74.224258
1764017783.228941,19,69.130013
1764017783.305216,20,70.944382
1764017783.380336,21,69.202560
1764017783.459295,22,73.565758
1764017783.533782,23,68.947838
1764017783.613963,24,74.774307
1764017783.695386,25,76.186241
1764017783.772041,26,71.248032
1764017783.846842,27,69.416512
1764017783.925838,28,73.651840
1764017784.005353,29,74.310272
1764017784.084291,30,73.778847
1764017784.157698,31,67.565186
1764017784.233202,32,70.113792
1764017784.307847,33,69.272415
1764017784.393243,34,80.021378
1764017784.467883,35,69.279358
1764017784.543247,36,69.929085
1764017784.616511,37,67.916412
1764017784.692214,38,70.306526
1764017784.770248,39,72.792641
1764017784.850120,40,74.380447
1764017784.925322,41,69.375618
1764017785.009012,42,78.351456
1764017785.088378,43,74.180222
1764017785.166382,44,72.757248
1764017785.241535,45,69.754494
1764017785.323905,46,77.029373
1764017785.396894,47,67.618431
1764017785.474956,48,73.092484
1764017785.554001,49,73.864960
1764017785.630969,50,71.601219
1764017785.711578,51,74.800766
1764017785.787696,52,70.743805
1764017785.861230,53,68.123489
1764017785.936173,54,69.571518
1764017786.012522,55,71.154305
1764017786.084604,56,66.860893
1764017786.168337,57,78.287491
1764017786.246256,58,72.977760
1764017786.321672,59,70.518211
1764017786.400034,60,73.046623
1764017786.482862,61,76.704163
1764017786.560567,62,72.315140
1764017786.634511,63,68.674110
1764017786.713102,64,73.391296
1764017786.793849,65,75.522690
1764017786.872913,66,73.717377
1764017786.949081,67,70.900291
1764017787.027457,68,73.087395
1764017787.110494,69,77.863075
1764017787.187079,70,71.119804
1764017787.269905,71,76.879486
1764017787.348386,72,73.081375
1764017787.427883,73,74.238625
1764017787.507589,74,74.205826
1764017787.585388,75,72.591743
1764017787.669186,76,78.577057
1764017787.737078,77,62.436993
1764017787.811581,78,69.091934
1764017787.888584,79,71.777924
1764017787.966913,80,72.924515
1764017788.048125,81,75.116547
1764017788.121536,82,68.213150
1764017788.199856,83,73.159103
1764017788.273581,84,68.412994
1764017788.343857,85,64.963135
1764017788.414613,86,65.489853
1764017788.496542,87,76.848801
1764017788.569912,88,67.986046
1764017788.636797,89,61.830784
1764017788.714393,90,72.513184
1764017788.789134,91,68.717758
1764017788.868985,92,74.468193
1764017788.947162,93,73.099907
1764017789.020743,94,68.374146
1764017789.095911,95,69.894241
1764017789.175632,96,74.506943
1764017789.251650,97,70.807167
1764017789.327698,98,70.794846
1764017789.398404,99,65.487457
1764017789.478144,100,74.402077
